"Week","christmas","amazon","rakhi","diwali","country"
2016-01-17,2,32,0,0,"UK"
2016-01-24,2,31,0,0,"UK"
2016-01-31,2,31,0,0,"UK"
2016-02-07,1,30,0,0,"UK"
2016-02-14,1,30,0,0,"UK"
2016-02-21,1,30,0,0,"UK"
2016-02-28,1,31,0,0,"UK"
2016-03-06,1,29,0,0,"UK"
2016-03-13,1,28,0,0,"UK"
2016-03-20,1,28,0,0,"UK"
2016-03-27,1,29,0,0,"UK"
2016-04-03,1,28,0,0,"UK"
2016-04-10,1,29,0,0,"UK"
2016-04-17,1,28,0,0,"UK"
2016-04-24,1,29,0,0,"UK"
2016-05-01,1,29,0,0,"UK"
2016-05-08,1,29,0,0,"UK"
2016-05-15,1,28,0,0,"UK"
2016-05-22,1,29,0,0,"UK"
2016-05-29,1,30,0,0,"UK"
2016-06-05,1,29,0,0,"UK"
2016-06-12,1,28,0,0,"UK"
2016-06-19,1,27,0,0,"UK"
2016-06-26,2,29,0,0,"UK"
2016-07-03,2,30,0,0,"UK"
2016-07-10,2,33,0,0,"UK"
2016-07-17,2,29,0,0,"UK"
2016-07-24,2,31,0,0,"UK"
2016-07-31,3,31,0,0,"UK"
2016-08-07,3,30,0,0,"UK"
2016-08-14,3,28,0,0,"UK"
2016-08-21,4,30,0,0,"UK"
2016-08-28,5,32,0,0,"UK"
2016-09-04,6,31,0,0,"UK"
2016-09-11,7,32,0,0,"UK"
2016-09-18,8,31,0,0,"UK"
2016-09-25,9,32,0,0,"UK"
2016-10-02,11,33,0,0,"UK"
2016-10-09,13,33,0,1,"UK"
2016-10-16,14,34,0,1,"UK"
2016-10-23,16,33,0,2,"UK"
2016-10-30,23,35,0,2,"UK"
2016-11-06,33,36,0,0,"UK"
2016-11-13,37,47,0,0,"UK"
2016-11-20,42,57,0,0,"UK"
2016-11-27,59,47,0,0,"UK"
2016-12-04,66,47,0,0,"UK"
2016-12-11,75,47,0,0,"UK"
2016-12-18,99,40,0,0,"UK"
2016-12-25,44,42,0,0,"UK"
2017-01-01,11,35,0,0,"UK"
2017-01-08,4,32,0,0,"UK"
2017-01-15,2,31,0,0,"UK"
2017-01-22,2,31,0,0,"UK"
2017-01-29,2,30,0,0,"UK"
2017-02-05,2,30,0,0,"UK"
2017-02-12,1,29,0,0,"UK"
2017-02-19,1,30,0,0,"UK"
